cluster,image,ra,dec,redshift,pixscale
Cluster0001,cluster000.jpg,3.17611983,-32.97124401,0.25818,0.262
Cluster0002,cluster001.jpg,6.51619192,-32.611162982,0.4356,0.262
Cluster0003,cluster002.jpg,15.12962757,-26.567987237,0.60142,0.262
Cluster0004,cluster003.jpg,14.23889556,-27.674855143,0.55811,0.262
Cluster0005,cluster004.jpg,16.86144704,-25.476408556,0.4159,0.262
Cluster0006,cluster005.jpg,27.38345056,-17.449091407,0.47039,0.262
Cluster0007,cluster006.jpg,29.70894022,-15.67963553,0.52946,0.262
Cluster0008,cluster007.jpg,33.60699677,-13.140791558,0.45636,0.262
Cluster0009,cluster008.jpg,44.25782818,-4.59729528,0.33215,0.262
Cluster0010,cluster009.jpg,309.81751927,-42.780314956,0.46399,0.262
Cluster0011,cluster010.jpg,337.49548708,-40.486018372,0.38789,0.262
Cluster0012,cluster011.jpg,349.81190771,-40.062211196,0.46236,0.262
Cluster0013,cluster012.jpg,0.0698711,-39.599437566,0.36021,0.262
Cluster0014,cluster013.jpg,3.74100767,-40.603574645,0.51807,0.262
Cluster0015,cluster014.jpg,3.89199421,-51.776783377,0.42493,0.262
Cluster0016,cluster015.jpg,1.07025133,-54.565595514,0.5311,0.262
Cluster0017,cluster016.jpg,2.69108128,-54.841615034,0.52128,0.262
Cluster0018,cluster017.jpg,1.66741585,-60.485299072,0.36564,0.262
Cluster0019,cluster018.jpg,6.78263713,-39.729708979,0.46303,0.262
Cluster0020,cluster019.jpg,5.37853226,-39.929264596,0.47458,0.262
Cluster0021,cluster020.jpg,6.61600043,-39.273644599,0.59478,0.262
Cluster0022,cluster021.jpg,4.94283653,-44.907040006,0.20611,0.262
Cluster0023,cluster022.jpg,8.33399782,-55.150241554,0.31409,0.262
Cluster0024,cluster023.jpg,7.01197987,-53.179264999,0.53838,0.262
Cluster0025,cluster024.jpg,6.57794601,-58.918072505,0.5767,0.262
Cluster0026,cluster025.jpg,10.4563654,-64.744013081,0.42087,0.262
Cluster0027,cluster026.jpg,13.48272579,-32.118222953,0.3208,0.262
Cluster0028,cluster027.jpg,13.60676852,-36.19305936,0.32237,0.262
Cluster0029,cluster028.jpg,14.38802654,-35.474587772,0.22337,0.262
Cluster0030,cluster029.jpg,13.58351545,-40.771841306,0.40433,0.262
Cluster0031,cluster030.jpg,14.51836683,-42.079772381,0.51314,0.262
Cluster0032,cluster031.jpg,15.31236049,-28.534578114,0.217,0.262
Cluster0033,cluster032.jpg,15.00797169,-61.975205948,0.45186,0.262
Cluster0034,cluster033.jpg,19.21993264,-43.257133354,0.39646,0.262
Cluster0035,cluster034.jpg,15.96937893,-42.578681644,0.28154,0.262
Cluster0036,cluster035.jpg,20.55515302,-43.778098597,0.48614,0.262
Cluster0037,cluster036.jpg,19.36943567,-55.856654564,0.24096,0.262
