cluster,image,ra,dec,redshift,pixscale
Cluster0002,cluster002.jpg,15.12962757,-26.567987237,0.60142,0.262
Cluster0004,cluster004.jpg,16.86144704,-25.476408556,0.4159,0.262
Cluster0011,cluster011.jpg,349.81190771,-40.062211196,0.46236,0.262
Cluster0038,cluster038.jpg,22.22930561,-61.403298733,0.33455,0.262
Cluster0040,cluster040.jpg,22.73906684,-27.119930601,0.22199,0.262
Cluster0043,cluster043.jpg,21.36584508,-34.254980168,0.4884,0.262
Cluster0045,cluster045.jpg,22.51748672,-36.258776609,0.55677,0.262
Cluster0061,cluster061.jpg,32.0851868,-44.72789367,0.43657,0.262
Cluster0067,cluster067.jpg,34.68476404,-23.436404023,0.62669,0.262
Cluster0068,cluster068.jpg,34.14940912,-24.386361574,0.44889,0.262
Cluster0074,cluster074.jpg,35.10971305,-14.419222343,0.55846,0.262
Cluster0077,cluster077.jpg,36.3480926,-36.558701576,0.45187,0.262
Cluster0080,cluster080.jpg,33.17797496,-45.093800112,0.41054,0.262
Cluster0081,cluster081.jpg,33.95736417,-49.520064821,0.2178,0.262
Cluster0082,cluster082.jpg,33.1144768,-62.646658891,0.24465,0.262
Cluster0093,cluster093.jpg,39.52776837,-60.889363525,0.62861,0.262
Cluster0122,cluster122.jpg,46.91298183,-20.774359556,0.51591,0.262
Cluster0139,cluster139.jpg,49.65343534,-29.103654228,0.57852,0.262
Cluster0142,cluster142.jpg,50.84950889,-56.54615531,0.6274,0.262
Cluster0144,cluster144.jpg,51.99960069,-13.882322215,0.56838,0.262
Cluster0159,cluster159.jpg,53.79564862,-39.49776001,0.54084,0.262
Cluster0173,cluster173.jpg,58.48480148,-56.913345276,0.67573,0.262
Cluster0175,cluster175.jpg,63.22008535,-27.917097056,0.40721,0.262
Cluster0189,cluster189.jpg,64.50214745,-40.159449032,0.60924,0.262
Cluster0190,cluster190.jpg,67.09463667,-37.916148208,0.44215,0.262
Cluster0213,cluster213.jpg,72.0879311,-18.761860737,0.37729,0.262
Cluster0229,cluster229.jpg,77.51388844,-55.584250265,0.3721,0.262
Cluster0263,cluster263.jpg,309.44825146,-54.840101535,0.32615,0.262
Cluster0264,cluster264.jpg,308.29642508,-55.402676046,0.28182,0.262
Cluster0267,cluster267.jpg,312.066186,-47.456315294,0.4794,0.262
Cluster0277,cluster277.jpg,326.96757719,-47.105909966,0.29994,0.262
Cluster0282,cluster282.jpg,329.47381083,-57.007897624,0.46904,0.262
Cluster0287,cluster287.jpg,334.37921822,-44.941710041,0.56867,0.262
Cluster0304,cluster304.jpg,350.41338705,-57.680139007,0.42142,0.262
Cluster0306,cluster306.jpg,353.47833369,-65.024611024,0.57158,0.262
